SSID,BSSID,Channel,PWR,Distance,Auth,WPS,Manufacturer,Uptime,Beacons,Timestamp
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f480000cb80eddb0000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20cf0bf...,2026-04-10T04:00:17.367227
Hidden,60:9b:b4:2b:50:3c,2,-72,39.81,WPA2,N/A,Unknown,1d 12h 26m,00001a002f48000031b2eedb0000000000026c09a000b800000080000000ffffffffffff609bb42b503c609bb42b503c506f...,2026-04-10T04:00:17.449140
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f4800003c14e4890000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c00c0...,2026-04-10T04:00:17.470911
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 26m,00001a002f4800001561f0db0000000000026c09a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c606f...,2026-04-10T04:00:17.558436
WE_EDF20C,20:e8:82:ed:f2:0c,1,-60,10.0,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f480000ff9fe5890000000000026c09a000c400000080000000ffffffffffff20e882edf20c20e882edf20c10c0...,2026-04-10T04:00:17.571505
Hidden,60:9b:b4:2b:50:3c,2,-72,39.81,WPA2,N/A,Unknown,1d 12h 26m,00001a002f480000ee01f2db0000000000027109a000b800000080000000ffffffffffff609bb42b503c609bb42b503c706f...,2026-04-10T04:00:17.665145
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f48000093bfe8890000000000027109a000c000000080000000ffffffffffff20e882edf20c20e882edf20c30c0...,2026-04-10T04:00:17.776838
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 26m,00001a002f4800001af2f4db0000000000027109a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c906f...,2026-04-10T04:00:17.875140
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 26m,00001a002f480000efa0ee890000000000027609a000ba00000080000000ffffffffffff609bb42b503c609bb42b503cc06f...,2026-04-10T04:00:18.181281
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f480000c303ef890000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c70c0...,2026-04-10T04:00:18.192087
Hidden,60:9b:b4:2b:50:3c,2,-76,63.1,WPA2,N/A,Unknown,1d 12h 26m,00001a002f48000028c2fcdb0000000000027609a000b400000080000000ffffffffffff609bb42b503c609bb42b503ce06f...,2026-04-10T04:00:18.385873
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f480000f323f2890000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c90c0...,2026-04-10T04:00:18.401682
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f480000a3b2fedb0000000000027609a000c600000080000000ffffffffffff20e882edf20c20e882edf20ca0c0...,2026-04-10T04:00:18.494974
Hidden,58:be:72:7f:70:24,6,-68,25.12,WPA2,N/A,Unknown,6d 17h 33m,00001a002f480000f9f909dc0000000000028009a000bc00000080000000ffffffffffff58be727f702458be727f702410d0...,2026-04-10T04:00:19.242589
Hidden,58:be:72:7f:70:24,6,-68,25.12,WPA2,N/A,Unknown,6d 17h 33m,00001a002f480000eb30606a0000000000028a09a000bc00000080000000ffffffffffff58be727f702458be727f7024b0d0...,2026-04-10T04:00:20.269218
AASR,48:4c:29:a6:b5:88,9,-78,79.43,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000c934616a0000000000028a09a000b200000080000000ffffffffffff484c29a6b588484c29a6b588207f...,2026-04-10T04:00:20.329365
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000e3e04b6a0000000000028a09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588307f...,2026-04-10T04:00:20.440812
Hidden,58:be:72:7f:70:24,6,-68,25.12,WPA2,N/A,Unknown,6d 17h 33m,00001a002f4800002e6d4c6a0000000000028a09a000bc00000080000000ffffffffffff58be727f702458be727f7024d0d0...,2026-04-10T04:00:20.477216
AASR,48:4c:29:a6:b5:88,9,-78,79.43,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000d654646a0000000000028a09a000b200000080000000ffffffffffff484c29a6b588484c29a6b588407f...,2026-04-10T04:00:20.535617
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 33m,00001a002f4800002a1e516a0000000000028f09a000b400000080000000ffffffffffff58be727f702458be727f702400d1...,2026-04-10T04:00:20.773923
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000e304696a0000000000028f09a000ba00000080000000ffffffffffff484c29a6b588484c29a6b588707f...,2026-04-10T04:00:20.840817
Hidden,58:be:72:7f:70:24,6,-70,31.62,WPA2,N/A,Unknown,6d 17h 33m,00001a002f48000018ad526a0000000000028f09a000ba00000080000000ffffffffffff58be727f702458be727f702410d1...,2026-04-10T04:00:20.874713
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000e1946a6a0000000000028f09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588807f...,2026-04-10T04:00:20.943511
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 33m,00001a002f480000973d546a0000000000028f09a000b400000080000000ffffffffffff58be727f702458be727f702420d1...,2026-04-10T04:00:20.978563
Hidden,58:be:72:7f:70:24,6,-70,31.62,WPA2,N/A,Unknown,6d 17h 33m,00001a002f48000019b16c6a0000000000028f09a000ba00000080000000ffffffffffff58be727f702458be727f702430d1...,2026-04-10T04:00:21.088466
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 33m,00001a002f48000067416e6a0000000000028f09a000b400000080000000ffffffffffff58be727f702458be727f702440d1...,2026-04-10T04:00:21.181809
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f48000031be6e6a0000000000029409a000b600000080000000ffffffffffff58be727ea0c458be727ea0c4203c...,2026-04-10T04:00:21.216464
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 33m,00001a002f48000099f7da960000000000029409a000ba00000080000000ffffffffffff484c29a6b588484c29a6b588b07f...,2026-04-10T04:00:21.249727
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 33m,00001a002f48000066815b6a0000000000029409a000ba00000080000000ffffffffffff484c29a6b588484c29a6b588d07f...,2026-04-10T04:00:21.455934
